time,event,pid,old_queue,new_queue,detail
50,behavior_demotion,28,0,1,cpu_intensity_score=1.00
50,aging_promotion,28,1,0,aging_score trigger 8.00
52,behavior_demotion,29,0,1,cpu_intensity_score=1.00
52,aging_promotion,29,1,0,aging_score trigger 8.00
53,behavior_demotion,30,0,1,cpu_intensity_score=1.00
53,aging_promotion,30,1,0,aging_score trigger 8.00
55,behavior_demotion,12,0,1,cpu_intensity_score=1.00
58,behavior_demotion,1,0,1,cpu_intensity_score=1.00
59,behavior_demotion,23,0,1,cpu_intensity_score=1.00
59,aging_promotion,12,1,0,aging_score trigger 8.00
60,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=11,Q3=19,aging_trigger=8.0,window_cs=19,avg_resp=21.12
61,behavior_demotion,2,0,1,cpu_intensity_score=1.00
65,behavior_demotion,25,0,1,cpu_intensity_score=1.00
65,aging_promotion,23,1,0,aging_score trigger 8.00
65,aging_promotion,2,1,0,aging_score trigger 8.00
65,aging_promotion,25,1,0,aging_score trigger 8.00
66,behavior_demotion,21,0,1,cpu_intensity_score=1.00
66,aging_promotion,21,1,0,aging_score trigger 8.00
67,behavior_demotion,3,0,1,cpu_intensity_score=1.00
67,aging_promotion,1,1,0,aging_score trigger 8.00
67,aging_promotion,3,1,0,aging_score trigger 8.00
69,behavior_demotion,4,0,1,cpu_intensity_score=1.00
69,aging_promotion,4,1,0,aging_score trigger 8.00
70,behavior_demotion,28,0,1,cpu_intensity_score=1.00
70,aging_promotion,28,1,0,aging_score trigger 8.00
72,behavior_demotion,30,0,1,cpu_intensity_score=1.00
73,aging_promotion,30,1,0,aging_score trigger 8.00
75,behavior_demotion,2,0,1,cpu_intensity_score=1.00
76,behavior_demotion,25,0,1,cpu_intensity_score=1.00
78,behavior_demotion,1,0,1,cpu_intensity_score=1.00
79,behavior_demotion,3,0,1,cpu_intensity_score=1.00
80,behavior_demotion,4,0,1,cpu_intensity_score=1.00
80,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=20,avg_resp=0.00
81,behavior_demotion,28,0,1,cpu_intensity_score=1.00
82,behavior_demotion,30,0,1,cpu_intensity_score=1.00
84,behavior_demotion,2,1,2,cpu_intensity_score=1.00
87,behavior_demotion,1,1,2,cpu_intensity_score=1.00
89,behavior_demotion,3,1,2,cpu_intensity_score=1.00
91,behavior_demotion,4,1,2,cpu_intensity_score=1.00
98,aging_promotion,1,2,1,aging_score trigger 8.00
99,aging_promotion,3,2,1,aging_score trigger 8.00
100,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=10,avg_resp=0.00
101,aging_promotion,4,2,1,aging_score trigger 8.00
105,behavior_demotion,2,2,3,cpu_intensity_score=1.00
107,behavior_demotion,1,1,2,cpu_intensity_score=1.00
109,behavior_demotion,3,1,2,cpu_intensity_score=1.00
111,behavior_demotion,4,1,2,cpu_intensity_score=1.00
112,aging_promotion,2,3,2,aging_score trigger 8.00
120,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=4,avg_resp=0.00
123,behavior_demotion,1,2,3,cpu_intensity_score=1.00
127,aging_promotion,4,2,1,aging_score trigger 8.00
131,aging_promotion,2,2,1,aging_score trigger 8.00
135,behavior_demotion,3,2,3,cpu_intensity_score=1.00
137,behavior_demotion,4,1,2,cpu_intensity_score=1.00
138,aging_promotion,1,3,2,aging_score trigger 8.00
138,aging_promotion,3,3,2,aging_score trigger 8.00
139,behavior_demotion,2,1,2,cpu_intensity_score=1.00
140,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=4,avg_resp=0.00
151,behavior_demotion,4,2,3,cpu_intensity_score=1.00
156,aging_promotion,2,2,1,aging_score trigger 8.00
157,aging_promotion,3,2,1,aging_score trigger 8.00
160,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=1,avg_resp=0.00
163,behavior_demotion,1,2,3,cpu_intensity_score=1.00
165,behavior_demotion,2,1,2,cpu_intensity_score=1.00
166,aging_promotion,4,3,2,aging_score trigger 8.00
167,behavior_demotion,3,1,2,cpu_intensity_score=1.00
174,aging_promotion,1,3,2,aging_score trigger 8.00
179,behavior_demotion,2,2,3,cpu_intensity_score=1.00
180,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=4,avg_resp=0.00
183,aging_promotion,3,2,1,aging_score trigger 8.00
191,behavior_demotion,4,2,3,cpu_intensity_score=1.00
193,behavior_demotion,3,1,2,cpu_intensity_score=1.00
193,aging_promotion,1,2,1,aging_score trigger 8.00
194,aging_promotion,2,3,2,aging_score trigger 8.00
195,behavior_demotion,1,1,2,cpu_intensity_score=1.00
200,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=3,avg_resp=0.00
202,aging_promotion,4,3,2,aging_score trigger 8.00
207,behavior_demotion,3,2,3,cpu_intensity_score=1.00
214,aging_promotion,1,2,1,aging_score trigger 8.00
219,behavior_demotion,2,2,3,cpu_intensity_score=1.00
220,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=2,avg_resp=0.00
221,behavior_demotion,1,1,2,cpu_intensity_score=1.00
221,aging_promotion,4,2,1,aging_score trigger 8.00
222,aging_promotion,3,3,2,aging_score trigger 8.00
223,behavior_demotion,4,1,2,cpu_intensity_score=1.00
230,aging_promotion,2,3,2,aging_score trigger 8.00
237,behavior_demotion,3,2,3,cpu_intensity_score=1.00
240,quantum_adjust,-1,-1,-1,Q0=1,Q1=2,Q2=12,Q3=20,aging_trigger=8.0,window_cs=4,avg_resp=0.00
